student_id,name,age,grade,email
1,Zane1,18,C,zane1816@outlook.com
2,Uma2,23,A,uma2583@outlook.com
3,Wendy3,22,B,wendy3551@outlook.com
4,Xander4,22,A,xander4736@yahoo.com
5,Victor5,19,A,victor5226@yahoo.com
6,Ian6,19,D,ian6392@school.edu
7,Leo7,22,A,leo7439@outlook.com
8,Paul8,24,B,paul8435@yahoo.com
9,Wendy9,23,B,wendy9240@yahoo.com
10,Leo10,23,A,leo10980@school.edu
11,Uma11,18,C,uma11314@school.edu
12,Rita12,18,B,rita12440@school.edu
13,Yara13,22,B,yara13854@school.edu
14,Bob14,19,C,bob14854@school.edu
15,Quincy15,24,A,quincy15400@outlook.com
16,Tina16,19,A,tina16274@gmail.com
17,Alice17,25,B,alice17904@school.edu
18,Sam18,20,B,sam18920@gmail.com
19,Paul19,23,A,paul19130@yahoo.com
20,Victor20,19,D,victor20945@school.edu
21,Frank21,23,A,frank21655@school.edu
22,Victor22,18,A,victor22513@school.edu
23,Karen23,25,A,karen23159@gmail.com
24,Grace24,24,D,grace24405@outlook.com
25,Quincy25,25,A,quincy25691@school.edu
26,Mona26,20,D,mona26828@yahoo.com
27,Uma27,22,B,uma27872@outlook.com
28,Nina28,23,B,nina28574@yahoo.com
29,Ian29,23,B,ian29171@yahoo.com
30,Tina30,23,A,tina30967@outlook.com
31,Nina31,22,B,nina31454@gmail.com
32,Hannah32,21,A,hannah32814@outlook.com
33,David33,25,D,david33904@outlook.com
34,Wendy34,22,B,wendy34558@yahoo.com
35,Frank35,25,C,frank35378@yahoo.com
36,Paul36,22,D,paul36817@school.edu
37,Ian37,21,D,ian37515@gmail.com
38,Paul38,20,C,paul38348@yahoo.com
39,Hannah39,18,A,hannah39791@outlook.com
40,Zane40,21,A,zane40746@gmail.com
41,Ian41,24,D,ian41234@outlook.com
42,Quincy42,24,C,quincy42506@gmail.com
43,Quincy43,25,D,quincy43300@outlook.com
44,Tina44,19,C,tina44702@yahoo.com
45,Xander45,23,C,xander45304@school.edu
46,Zane46,25,C,zane46588@school.edu
47,Eva47,19,D,eva47575@yahoo.com
48,Leo48,22,B,leo48302@gmail.com
49,Uma49,25,A,uma49138@gmail.com
50,Bob50,22,D,bob50476@school.edu
51,Karen51,18,A,karen51868@outlook.com
52,Hannah52,23,A,hannah52672@yahoo.com
53,Bob53,21,C,bob53464@gmail.com
54,Leo54,18,C,leo54376@gmail.com
55,Yara55,22,A,yara55326@outlook.com
56,Eva56,19,C,eva56617@school.edu
57,Nina57,21,B,nina57583@outlook.com
58,Eva58,20,A,eva58778@yahoo.com
59,Oscar59,21,B,oscar59430@outlook.com
60,Yara60,18,B,yara60202@school.edu
61,Oscar61,23,D,oscar61665@school.edu
62,Rita62,23,C,rita62123@outlook.com
63,Victor63,20,D,victor63606@yahoo.com
64,Xander64,19,D,xander64128@school.edu
65,Hannah65,22,D,hannah65506@school.edu
66,Nina66,25,D,nina66787@gmail.com
67,Victor67,18,A,victor67995@outlook.com
68,Karen68,18,A,karen68206@gmail.com
69,Grace69,18,D,grace69854@yahoo.com
70,Jack70,24,A,jack70664@outlook.com
71,Nina71,23,B,nina71140@gmail.com
72,Ian72,22,D,ian72352@outlook.com
73,Grace73,19,A,grace73194@gmail.com
74,Grace74,24,C,grace74943@outlook.com
75,Quincy75,23,D,quincy75112@school.edu
76,Oscar76,19,D,oscar76730@gmail.com
77,Grace77,22,D,grace77178@school.edu
78,Ian78,22,D,ian78228@yahoo.com
79,Xander79,24,C,xander79935@school.edu
80,Tina80,22,D,tina80300@outlook.com
81,Wendy81,20,A,wendy81147@school.edu
82,Karen82,23,B,karen82995@gmail.com
83,Leo83,18,C,leo83394@outlook.com
84,Bob84,18,A,bob84871@yahoo.com
85,Rita85,18,A,rita85757@school.edu
86,Alice86,21,B,alice86674@school.edu
87,Sam87,19,C,sam87600@outlook.com
88,Wendy88,23,A,wendy88626@outlook.com
89,Tina89,21,C,tina89877@yahoo.com
90,Zane90,25,D,zane90905@yahoo.com
91,Tina91,21,D,tina91565@school.edu
92,Wendy92,19,C,wendy92509@gmail.com
93,Quincy93,19,A,quincy93754@gmail.com
94,Eva94,24,C,eva94917@outlook.com
95,Tina95,25,D,tina95115@gmail.com
96,Ian96,25,C,ian96659@gmail.com
97,Mona97,22,C,mona97589@yahoo.com
98,Leo98,25,A,leo98916@gmail.com
99,Bob99,23,C,bob99616@gmail.com
100,Paul100,19,B,paul100458@outlook.com
